detector,num_keypoints,neighb_size_mean,neighb_size_var,image_num
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
SHITOMASI,125,4,0,0
SHITOMASI,118,4,0,1
SHITOMASI,123,4,0,2
SHITOMASI,120,4,0,3
SHITOMASI,120,4,0,4
SHITOMASI,113,4,0,5
SHITOMASI,114,4,0,6
SHITOMASI,123,4,0,7
SHITOMASI,111,4,0,8
SHITOMASI,112,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
HARRIS,53,4,0,2
HARRIS,55,4,0,3
HARRIS,56,4,0,4
HARRIS,58,4,0,5
HARRIS,57,4,0,6
HARRIS,61,4,0,7
HARRIS,59,4,0,8
HARRIS,57,4,0,9
HARRIS,50,4,0,0
HARRIS,54,4,0,1
